megusto,nombre,genero
1,Forrest gump,Drama|Comedia
1,Titanic,Drama|Romance
1,ET el extrterrestre,Ciencia Ficción|Aventura
1,Gladiador,Acción|Drama
1,Toy story,Animación|Aventura|Fantasía
1,Avatar,Ciencia Ficción|Aventura
0,El conjuro,Terror|Suspenso
1,La sirenita,Animación|Fantasía
0,Anabelle,Terror|Suspenso
1,High School Musical,Comedia|Musical
1,10 cosas que odio de ti,Comedia|Romance|Drama
0,Star Wars: El Imperio Contraataca,Ciencia Ficción|Aventura|Acción
1,El secreto de sus ojos,Drama|Crimen|Misterio
1,El Señor de los Anillos: La Comunidad del Anillo,Aventura|Fantasía
0,Tiempos de gloria,Acción|Drama|Bélica
0,Matrix,Ciencia Ficción|Acción
0,Los Vengadores,Ciencia Ficción|Acción
1,Salvar al soldado perez,Guerra|Acción
0,El Aro,Terror|Suspenso
0,La delgada linea roja,Guerra|Drama
1,Sicario,Acción|Crimen|Drama
0,Francotirador,Guerra|Biografia|Crimen
1,El hombre ideal,Comedia|Romance|Drama
0,El lado luminoso de la vida,Comedia|Drama|Romance
0,Harry Potter y la Piedra Filosofal,Fantasía|Aventura
1,Crepúsculo,Drama|Fantasía|Romance
0,Duro de Matar,Acción|Thriller
1,Cazadores de sombras: Ciudad de hueso,Acción|Aventura|Fantasía
0,Psicosis,Terror|Suspenso
1,El Rey León,Animación|Aventura
1,Los Increíbles,Animación|Acción
1,Jurassic Park,Ciencia Ficción|Aventura
0,Kill Bill: Volumen 1,Acción|Crimen
1,La Bella y la Bestia,Animación|Fantasía
0,Bajo el mismo techo,Comedia|Romance
1,Divergente,Aventura|Ciencia ficción
1,Regreso al Futuro,Ciencia Ficción|Aventura
1,Mujer Maravilla,Acción|Aventura
1,Piratas del Caribe: La Maldición del Perla Negra,Aventura|Fantasía
1,A todos los chicos de los que me enamoré,Comedia|Drama|Romance
1,Los Simpson: La Película,Animación|Comedia
1,Frozen,Animación|Aventura
1,La Gran Estafa,Crimen|Drama
1,Las Crónicas de Narnia,Aventura|Fantasía
0,Los Otros,Terror|Suspenso
0,Las Aventuras de Tintín: El Secreto del Unicornio,Animación|Aventura
1,Shrek,Animación|Comedia
0,Mi Vecino Totoro,Animación|Fantasía
0,300,Acción|Drama
0,El Renacido,Aventura|Drama
1,El Efecto Mariposa,Ciencia Ficción|Drama
1,La Vida es Bella,Comedia|Drama
0,Apocalypse Now,Drama|Guerra
1,El Diario de la Princesa,Comedia|Romance
0,Los Miserables,Drama|Musical
0,Blade Runner,Ciencia Ficción|Thriller
0,El Pianista,Drama|Biografía
0,Bajo el Sol de la Toscana,Comedia|Drama
0,Inception,Ciencia ficción|Acción
0,Casablanca,Drama|Romance
0,Spider-Man:Into the Spider-Verse,Animación|Acción
1,Los Intocables,Crimen|Drama
0,Moulin Rouge!,Drama|Musical|Romance
0,La La Land,Comedia musical|Drama|Romance
0,Tiburón,Terror|Aventura
0,La Habitación,Drama|Thriller
1,Seven,Crimen|Drama|Suspenso
0,Guardianes de la Galaxia,Ciencia Ficción|Acción
1,Aladdín,Animación|Aventura
1,El Club de la Pelea,Crimen|Drama
1,Los Juegos del Hambre,Aventura|Ciencia Ficción
0,El Sexto Sentido,Drama|Thriller
1,El Origen,Ciencia Ficción|Thriller
1,12 Años de Esclavitud,Biografía|Drama|Historia
0,El Renacido,Aventura|Drama
1,Misión: Imposible,Acción|Aventura|Thriller
1,Perdida,Crimen|Drama|Misterio
0,Nueve reinas,Crimen|Drama|Thriller
1,La ira de Dios,Drama|Thriller
